region,n,predictor_family,term,contrast,beta,se_conventional,ci95_low_conventional,ci95_high_conventional,p_conventional,se_hc3,ci95_low_hc3,ci95_high_hc3,p_hc3,p_fdr_conventional_165,p_fdr_hc3_165
R-Thalamus,432,Pathology,Pathology_FCD,FCD vs HS,-0.0524841401936867,0.0356066888360429,-0.1224755997391343,0.0175073193517609,0.1412387979747473,0.0380197884728371,-0.1270015563002785,0.0220332759129051,0.1674503746535922,0.6013382931494208,0.6174094023284129
L-Thalamus,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",0.0126315240306976,0.0086766290628957,-0.0044239773904789,0.0296870254518742,0.146199372950413,0.0111991672435131,-0.0093184404234288,0.0345814884848241,0.2593627838421409,0.6013382931494208,0.701555071048414
R-Thalamus,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0366119820297495,0.0254163780041188,-0.0133485577176691,0.0865725217771681,0.150481627122138,0.0259297929713759,-0.0142094783207271,0.0874334423802262,0.1579600183470371,0.6013382931494208,0.6174094023284129
L-Caudate,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0126341194571215,0.0089373212269441,-0.0302020590086119,0.0049338200943689,0.1582166547846081,0.0083919842183687,-0.0290821062839528,0.0038138673697097,0.1321959682013479,0.6013382931494208,0.5740088092953265
L-Thalamus,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0111665508091718,0.0080453414274491,-0.0046480392989264,0.0269811409172702,0.1658944382999556,0.0082383552268448,-0.0049803287272913,0.0273134303456351,0.175279167418583,0.6013382931494208,0.6174094023284129
Brain-Stem,432,Pathology,Pathology_OTHER,Other vs HS,-0.0182428805417288,0.0134266673471792,-0.0446354510159879,0.0081496899325302,0.1749763244060534,0.0118605251222143,-0.0414890826190014,0.0050033215355438,0.1240199024557714,0.6013382931494208,0.5740088092953265
R-Amygdala,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0096430026582815,0.00712959096337,-0.0043715124174135,0.0236575177339766,0.1769397806636443,0.0075055791023383,-0.005067662065418,0.0243536673819811,0.1988698839198897,0.6013382931494208,0.6724539864923721
L-Hippocampus,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0115922942494219,0.008653545027638,-0.0286024197771161,0.0054178312782721,0.1811065747128024,0.0108974420593591,-0.0329508882093778,0.0097662997105338,0.2874361351804928,0.6013382931494208,0.7391470058062454
R-Hippocampus,432,Pathology,Pathology_OTHER,Other vs HS,0.0292151945000708,0.0218202716115892,-0.0136765403873159,0.0721069293874576,0.1813339034438749,0.023442852132464,-0.0167319513744567,0.0751623403745984,0.2126798290982859,0.6013382931494208,0.6724539864923721
Brain-Stem,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0209929357952137,0.0157918683148375,-0.010048869787847,0.0520347413782745,0.1844607434804931,0.0138692038303688,-0.0061902042065541,0.0481760757969816,0.1301180098735599,0.6013382931494208,0.5740088092953265
L-Cerebral-WM,432,Pathology,Pathology_DNT,DNT vs HS,-0.0232220673734364,0.0176061188048978,-0.0578301141300328,0.0113859793831599,0.1879023497106257,0.0159794359679929,-0.0545411863639665,0.0080970516170936,0.1461551870425127,0.6013382931494208,0.6133831770140215
R-Putamen,432,Pathology,Pathology_DNT,DNT vs HS,-0.0347498490523357,0.026363006063008,-0.0865711593924206,0.017071461287749,0.188185719386535,0.0240626211806276,-0.0819117199399967,0.0124120218353251,0.1486989520033991,0.6013382931494208,0.6133831770140215
R-Caudate,432,Pathology,Pathology_FCD,FCD vs HS,-0.0510011790997908,0.0390635555742995,-0.1277877424971803,0.0257853842975985,0.1924119210682497,0.0438424810473749,-0.1369308629455257,0.0349285047459439,0.2447150132096206,0.6013382931494208,0.6843724945692781
L-Amygdala,432,Operation side,Right_side,Right vs left,-0.0173220577825379,0.0135074021263813,-0.0438733272321062,0.0092292116670303,0.2004122053493294,0.0144785917702838,-0.0456995761991523,0.0110554606340764,0.231543987686668,0.6013382931494208,0.6724539864923721
L-Cerebral-WM,432,Pathology,Pathology_FCD,FCD vs HS,-0.0330625542050918,0.0258812663563362,-0.0839369170391558,0.0178118086289721,0.2021486581004577,0.0289789341710182,-0.0898602214906446,0.023735113080461,0.2539045279665149,0.6013382931494208,0.6982374519079162
R-Cerebral-WM,432,Pathology,Pathology_DNT,DNT vs HS,-0.0230254947414447,0.0182452353594616,-0.0588898419835919,0.0128388525007024,0.207655720012233,0.0170107221787862,-0.0563658975628824,0.0103149080799929,0.175868132784457,0.6013382931494208,0.6174094023284129
L-Hippocampus,432,Pathology,Pathology_FCD,FCD vs HS,-0.0443237888022182,0.0351774343971558,-0.1134714702352889,0.0248238926308525,0.2083734640528589,0.0371081393877068,-0.1170544055354157,0.0284068279309793,0.2323022862428194,0.6013382931494208,0.6724539864923721
L-Caudate,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",-0.0109443727909711,0.0087754666130163,-0.0281941574947829,0.0063054119128407,0.2130421049062492,0.0087409489869995,-0.0280763179961921,0.0061875724142498,0.2105404902029307,0.6013382931494208,0.6724539864923721
L-Pallidum,432,Pathology,Pathology_FCD,FCD vs HS,-0.0496710708116793,0.039950992733979,-0.1282020542630323,0.0288599126396736,0.2144575205058477,0.0404817995771424,-0.1290139400122474,0.0296717983888887,0.2198234940187821,0.6013382931494208,0.6724539864923721
L-Cerebral-WM,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0065969773824842,0.0053297525675258,-0.0038796261268996,0.0170735808918682,0.2165016036565912,0.0055926278952892,-0.0043643718712166,0.0175583266361852,0.2381654962370494,0.6013382931494208,0.6775397737778129
R-Caudate,432,Operation side,Right_side,Right vs left,0.0197204194046482,0.0159671703346212,-0.0116659743618975,0.051106813171194,0.2175051257164055,0.0164237197417208,-0.0124694797813042,0.0519103185906006,0.2298567468348097,0.6013382931494208,0.6724539864923721
Brain-Stem,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",0.0060105344974527,0.0048676301800614,-0.0035576829349165,0.0155787519298219,0.2176031030547627,0.0065262501096464,-0.0067806806715548,0.0188017496664603,0.3570617752405771,0.6013382931494208,0.8070574371876058
R-Amygdala,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0094964036388105,0.0077085135072885,-0.0246488968623529,0.0056560895847317,0.218668470236153,0.0097034170725286,-0.0285147516279377,0.0095219443503166,0.3277450741778331,0.6013382931494208,0.7914156289964093
L-Pallidum,432,Pathology,Pathology_DNT,DNT vs HS,-0.033120980039249,0.0271229345939656,-0.0864360689015904,0.0201941088230923,0.2227235309881495,0.023505110472986,-0.079190150018937,0.0129481899404389,0.1588064955341042,0.6024488952958144,0.6174094023284129
